execid,exec_lname,exec_fname,exec_mname,exec_fullname,directorid,directorname,forename1,forename2,forename3,forename4,usualname,surname,suffixtitle,score,matchStyle
45673,Xie,KEN,,Ken Xie,1055310,Ken Xie,KEN,Q,,,,Xie,,2,partialname+cusip
45833,Kothandaraman,BADRINARAYANAN,,Badrinarayanan Kothandaraman,1197971,Badri Kothandaraman,BADRINARAYANAN,Narayanan,,,Badri,Kothandaraman,,2,partialname+cusip
45833,Kothandaraman,BADRINARAYANAN,,Badrinarayanan Kothandaraman,1197971,Badri Kothandaraman,,,,,,,,9,existing
45957,Starkloff,ERIC,Howard,Eric Howard Starkloff,889340,Eric Starkloff,ERIC,Howard,,,,Starkloff,,1,fullname+cusip
46535,Kurian,GEORGE,,George Kurian,1448606,George Kurian,GEORGE,,,,,Kurian,,1,fullname+cusip
46758,Amon,CRISTIANO,Renno,Cristiano Renno Amon,1284093,Cristiano Amon,CRISTIANO,Renno,,,,Amon,,1,fullname+cusip
46801,"Gapontsev, Ph.D.",VALENTIN,P.,"Valentin P. Gapontsev, Ph.D.",552050,Doctor Valentin Gapontsev,VALENTIN,P,,,,Gapontsev,PhD MSEE,1,fullname+cusip
46804,"Scherbakov, Ph.D.",EUGENE,A.,"Eugene A. Scherbakov, Ph.D.",552052,Doctor Eugene Scherbakov,EUGENE,A,,,,Scherbakov,PhD DSc MS,1,fullname+cusip
47415,"Devgan, Ph.D.",ANIRUDH,,"Anirudh Devgan, Ph.D.",550037,Doctor Anirudh Devgan,ANIRUDH,,,,,Devgan,MS PhD,1,fullname+cusip
47489,Meury,WILLIAM,,William Meury,895019,Bill Meury,WILLIAM,J,,,Bill,Meury,,4,partialname+ticker
47489,Meury,WILLIAM,,William Meury,895019,Bill Meury,,,,,,,,9,existing
47802,"Smith, Ph.D.",SCOTT,Andrew,"Scott Andrew Smith, Ph.D.",540927,Scott Smith,SCOTT,A,,,,Smith,,1,fullname+cusip
47849,Nir,YEHOSHUA,,Yehoshua Nir,1123639,Shuki Nir,YEHOSHUA,,,,Shuki,Nir,,1,fullname+cusip
48040,Chiminski,JOHN,R.,John R. Chiminski,1047323,John Chiminski,JOHN,Richard,,,,Chiminski,MS MBA,1,fullname+cusip
48100,Robin,HOWARD,W.,Howard W. Robin,376561,Howard Robin,HOWARD,W,,,,Robin,,1,fullname+cusip
48198,Benjamin,MARK,D.,Mark D. Benjamin,745229,Mark Benjamin,MARK,D,,,,Benjamin,,1,fullname+cusip
48198,Benjamin,MARK,D.,Mark D. Benjamin,745229,Mark Benjamin,,,,,,,,9,existing
48291,Brace,PHILIP,Gordon,Philip Gordon Brace,486930,Phil Brace,PHILIP,Gordon,,,Phil,Brace,MS,3,fullname+ticker
48585,Advaithi,REVATHI,,Revathi Advaithi,892665,Revathi Advaithi,REVATHI,,,,,Advaithi,MBA,3,fullname+ticker
48608,Neri,ANTONIO,Fabio,Antonio Fabio Neri,1192124,Antonio Neri,ANTONIO,Fabio,,,,Neri,,1,fullname+cusip
49137,El-Khoury,HASSANE,S.,Hassane S. El-Khoury,1269387,Hassane El-Khoury,HASSANE,,,,,El-Khoury,,2,partialname+cusip
50453,Duato,JOAQUIN,,Joaquin Duato,879247,Joaquin Duato,JOAQUIN,,,,,Duato,MBA,1,fullname+cusip
50499,"Bourla, D.V.M., Ph.D",ALBERT,,"Albert Bourla, D.V.M., Ph.D.",1361005,Doctor Albert Bourla,ALBERT,,,,,Bourla,,1,fullname+cusip
51055,Macdonald,ALISTAIR,,Alistair Macdonald,1480344,Alistair Macdonald,ALISTAIR,John,,,,Macdonald,,2,partialname+cusip
51061,Tufano,PAUL,J.,Paul J. Tufano,106062,Paul Tufano,PAUL,J,,,,Tufano,MBA,1,fullname+cusip
51186,Brennan,DAVID,R.,David R. Brennan,332327,Dave Brennan,DAVID,Richard,,,Dave,Brennan,,1,fullname+cusip
51599,"Seendripu, Ph.D.",KISHORE,,"Kishore Seendripu, Ph.D.",1058303,Doctor Kishore Seendripu,KISHORE,V,,,,Seendripu,PhD MBA MS,2,partialname+cusip
51776,Clark,GREGORY,Scott,Gregory Scott Clark,1068227,Greg Clark,GREGORY,S,,,Greg,Clark,,1,fullname+cusip
51778,Pike,THOMAS,H.,Thomas H. Pike,1010281,Tom Pike,THOMAS,H,,,Tom,Pike,,1,fullname+cusip
51778,Pike,THOMAS,H.,Thomas H. Pike,1010281,Tom Pike,THOMAS,H,,,Tom,Pike,,6,fullname+conameLow
51831,Lando,ZVI,,Zvi Lando,1449249,Zvi Lando,ZVI,,,,,Lando,,1,fullname+cusip
52398,Scholhamer,JAMES,P.,James P. Scholhamer,321685,Jim Scholhamer,JAMES,P,,,Jim,Scholhamer,,1,fullname+cusip
52782,Ricks,DAVID,A.,David A. Ricks,1068880,Dave Ricks,DAVID,A,,,Dave,Ricks,MBA,1,fullname+cusip
55354,"Shannon, A.C.A.",COLIN,,"Colin Shannon, A.C.A.",334096,Colin Shannon,COLIN,,,,,Shannon,MBA,1,fullname+cusip
55599,"Morrissey, Ph.D.",MICHAEL,M.,"Michael M. Morrissey, Ph.D.",272802,Doctor Mike Morrissey,MICHAEL,M,,,Mike,Morrissey,PhD,1,fullname+cusip
55683,"Troendle, M.D.",AUGUST,James,"August James Troendle, M.D.",982110,Doctor August Troendle,AUGUST,James,,,,Troendle,MD,1,fullname+cusip
55878,Simmons,JEFFREY,N.,Jeffrey N. Simmons,593280,Jeff Simmons,JEFFREY,N,,,Jeff,Simmons,,1,fullname+cusip
